question,N,grid_type,event_time_s,max_C_event,center_C_event,surface_C_event
Q3,160,node-centered-160-control-volumes,59286.10161675514,0.15000000000000002,0.15000000000000002,0.11280579488619316
Q3,320,node-centered-320-control-volumes,59286.17508875796,0.15000000000000002,0.15000000000000002,0.11280598960117622
Q3,640,node-centered-640-control-volumes,59286.19359549931,0.14999999999999997,0.14999999999999997,0.112806038281799
Q4,160,node-centered-160-control-volumes,70760.07690486524,0.14999999999999997,0.14999999999999997,0.08023304517308982
Q4,320,node-centered-320-control-volumes,70759.97874952822,0.15000000000000002,0.15000000000000002,0.08023341441480757
Q4,640,node-centered-640-control-volumes,70759.95233593073,0.15000000000000005,0.15000000000000005,0.08023350713390165
