time_s,max_C,argmax_index,argmax_coordinate_cm,argmax_xi,center_C,surface_C,event_value
59166.0,0.15075756697891393,0,0.0,0.0,0.15075756697891393,0.11327392004271382,0.0007575669789139372
59167.0,0.1507512395080985,0,0.0,0.0,0.1507512395080985,0.11327001221411871,0.0007512395080984946
59168.0,0.1507449124344948,0,0.0,0.0,0.1507449124344948,0.11326610462251775,0.0007449124344948155
59169.0,0.15073858575807797,0,0.0,0.0,0.15073858575807797,0.11326219726789713,0.0007385857580779753
59170.0,0.150732259478823,0,0.0,0.0,0.150732259478823,0.11325829015024302,0.0007322594788229941
59171.0,0.15072593359670497,0,0.0,0.0,0.15072593359670497,0.1132543832695416,0.0007259335967049751
59172.0,0.150719608111699,0,0.0,0.0,0.150719608111699,0.11325047662577904,0.0007196081116989939
59173.0,0.1507132830237801,0,0.0,0.0,0.1507132830237801,0.11324657021894152,0.000713283023780098
59174.0,0.15070695833292336,0,0.0,0.0,0.15070695833292336,0.11324266404901523,0.0007069583329233631
59175.0,0.1507006340391039,0,0.0,0.0,0.1507006340391039,0.11323875811598633,0.0007006340391038923
59176.0,0.1506943101422967,0,0.0,0.0,0.1506943101422967,0.11323485241984099,0.0006943101422967057
59177.0,0.15068798664247693,0,0.0,0.0,0.15068798664247693,0.11323094696056543,0.0006879866424769343
59178.0,0.15068166353961962,0,0.0,0.0,0.15068166353961962,0.1132270417381458,0.0006816635396196258
59179.0,0.15067534083369988,0,0.0,0.0,0.15067534083369988,0.11322313675256829,0.0006753408336998834
59180.0,0.15066901852469275,0,0.0,0.0,0.15066901852469275,0.11321923200381909,0.0006690185246927549
59181.0,0.15066269661257334,0,0.0,0.0,0.15066269661257334,0.11321532749188437,0.0006626966125733436
59182.0,0.15065637509731675,0,0.0,0.0,0.15065637509731675,0.11321142321675032,0.0006563750973167526
59183.0,0.15065005397889802,0,0.0,0.0,0.15065005397889802,0.11320751917840312,0.0006500539788980297
59184.0,0.15064373325729227,0,0.0,0.0,0.15064373325729227,0.11320361537682896,0.0006437332572922783
59185.0,0.1506374129324746,0,0.0,0.0,0.1506374129324746,0.11319971181201403,0.0006374129324746014
59186.0,0.15063109300442007,0,0.0,0.0,0.15063109300442007,0.11319580848394452,0.0006310930044200747
59187.0,0.1506247734731038,0,0.0,0.0,0.1506247734731038,0.1131919053926066,0.0006247734731038013
59188.0,0.15061845433850088,0,0.0,0.0,0.15061845433850088,0.11318800253798647,0.0006184543385008845
59189.0,0.15061213560058637,0,0.0,0.0,0.15061213560058637,0.11318409992007032,0.0006121356005863721
59190.0,0.1506058172593354,0,0.0,0.0,0.1506058172593354,0.11318019753884434,0.000605817259335395
59191.0,0.15059949931472308,0,0.0,0.0,0.15059949931472308,0.11317629539429472,0.0005994993147230843
59192.0,0.15059318176672448,0,0.0,0.0,0.15059318176672448,0.11317239348640765,0.0005931817667244876
59193.0,0.1505868646153147,0,0.0,0.0,0.1505868646153147,0.11316849181516932,0.0005868646153147083
59194.0,0.15058054786046887,0,0.0,0.0,0.15058054786046887,0.11316459038056592,0.0005805478604688774
59195.0,0.1505742315021621,0,0.0,0.0,0.1505742315021621,0.11316068918258367,0.0005742315021620981
59196.0,0.15056791554036947,0,0.0,0.0,0.15056791554036947,0.11315678822120871,0.0005679155403694736
59197.0,0.15056159997506607,0,0.0,0.0,0.15056159997506607,0.1131528874964273,0.0005615999750660794
59198.0,0.15055528480622707,0,0.0,0.0,0.15055528480622707,0.11314898700822558,0.0005552848062270743
59199.0,0.15054897003382756,0,0.0,0.0,0.15054897003382756,0.11314508675658978,0.0005489700338275616
59200.0,0.1505426556578426,0,0.0,0.0,0.1505426556578426,0.11314118674150608,0.0005426556578426167
59201.0,0.15053634167824737,0,0.0,0.0,0.15053634167824737,0.1131372869629607,0.0005363416782473707
59202.0,0.15053002809501695,0,0.0,0.0,0.15053002809501695,0.11313338742093981,0.0005300280950169545
