factor,q3_t_s,q3_t_h,q4_t_s,q4_t_h
0.5,55758.12811876948,15.48836892188041,67266.82531848186,18.68522925513385
1.0,59286.17508875796,16.468381969099433,70759.97874952822,19.655549652646727
2.0,70340.8135326721,19.539114870186694,81605.59136725882,22.668219824238562
